d ep stress_yy total_strain_yy
0.09756546932368 0.013985018288078 63.078547924568 0.024800125
0.098189787761973 0.014152960408953 62.563687537577 0.02505628125
0.098808826785768 0.014320791790374 62.058791370408 0.0253125
0.099422691370014 0.014488514104543 61.563558533193 0.02556878125
0.10003148324231 0.014656128969722 61.077700416237 0.025825125
0.1006353010178 0.01482363795247 60.600940061754 0.02608153125
0.10123424032695 0.014991042569766 60.133011574257 0.026338
0.10182839393637 0.015158344291024 59.67365956692 0.02659453125
0.10241785186438 0.015325544540019 59.222638640502 0.026851125
0.10300270149001 0.015492644696707 58.779712893687 0.02710778125
0.10358302765724 0.015659646098973 58.344655461869 0.0273645
0.10415891277338 0.015826550044283 57.917248083093 0.02762128125
0.1047304369037 0.015993357791264 57.497280688389 0.027878125
0.10529767786053 0.016160070561208 57.084551016065 0.02813503125
